point,geometry,type,wtd_m,links,length_m,elevation_m
GW_AmmanZarqa_A1A6,POINT (228885.5794850692 1183296.426832337),Groundwater supply,71.17711639404297,Transmission Link from GW_AmmanZarqa_A1A6 to PS_Ajloun,9610.198304477619,668.0
GW_AmmanZarqa_A1A6,POINT (228885.5794850692 1183296.426832337),Groundwater supply,71.17711639404297,Transmission Link from GW_AmmanZarqa_A1A6 to PS_Ajloun 2,10632.93014813019,668.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to PS_Mafraq 3,36631.1901085373,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to MF_Agri,49585.96372061388,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to AM_Agriculture,27101.84945578839,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to AMMAN_Industry,22151.337603136042,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to AM_SZ04,15002.770410539466,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to PS_AinGhasal_AMSZ02 2,16771.94724859021,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to PS_AinGhasal_AMSZ02,15292.988002278951,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to AM_SZ05,29611.956682340675,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to AM_SZ01,25585.168943221288,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to PS_Ain Ghazal,15436.888267258792,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to PS_Awayan,13078.924737831154,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to PS_AlBasateen,19305.173825240836,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to PS_AlBasateen 2,20622.37814966992,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to PL_ToKhaw,15814.042531554303,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to ZA_Agriculture,35370.39867633866,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to PL_ToKhaw 2,15619.30537644545,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to PL_ToKhaw 3,15687.187084222729,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to ZARQA_Industry,17295.70175673134,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to PS_Halabat,30225.849724658136,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to PS_Halabat 2,30523.421863809566,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to PS_Zarqa,22747.83645434791,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to ZA_Hashmiyya,23684.79141543781,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to MAFRAQ_Industry,31773.949768960258,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to PL_Aqeb_Irbid,47723.985636993144,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to PS_Mafraq,33251.59986281104,795.0
GW_AmmanZarqa_A7B2,POINT (263306.5113867288 1150273.822447935),Groundwater supply,41.78659439086914,Transmission Link from GW_AmmanZarqa_A7B2 to PS_Mafraq 2,34593.86876511981,795.0
GW_AmmanZarqa_Basalt,POINT (288152.1403732534 1191822.870905),Groundwater supply,50.41940689086914,Transmission Link from GW_AmmanZarqa_Basalt to PL_ToKhaw,32656.06679384523,779.0
GW_AmmanZarqa_Basalt,POINT (288152.1403732534 1191822.870905),Groundwater supply,50.41940689086914,Transmission Link from GW_AmmanZarqa_Basalt to MF_RC_MAF,9820.91014996414,779.0
GW_AmmanZarqa_Basalt,POINT (288152.1403732534 1191822.870905),Groundwater supply,50.41940689086914,Transmission Link from GW_AmmanZarqa_Basalt to PL_Aqeb_Irbid,13373.00569463604,779.0
GW_AmmanZarqa_Basalt,POINT (288152.1403732534 1191822.870905),Groundwater supply,50.41940689086914,Transmission Link from GW_AmmanZarqa_Basalt to PS_Mafraq,23685.18202010366,779.0
