point,type,geometry,lon,lat
AEP Taroudant,Demand site,POINT (-8.902760000000001 30.46283),-8.90276,30.46283
AEP_Aoulouz,Demand site,POINT (-8.18848 30.60157),-8.18848,30.60157
AEP_Irherm,Demand site,POINT (-8.45837 30.25891),-8.45837,30.25891
AEP_SEl Guerdane,Demand site,POINT (-8.946210000000001 30.35913),-8.94621,30.35913
AEP_Taliouine,Demand site,POINT (-7.936579999999999 30.59884),-7.936579999999999,30.59884
AEP_ouled berhil,Demand site,POINT (-8.53445 30.55566),-8.53445,30.55566
Agadir,Demand site,POINT (-9.59572 30.38739),-9.59572,30.38739
Ait Baha,Demand site,POINT (-9.18324 29.99476),-9.18324,29.99476
Ait Iaaza,Demand site,POINT (-8.77688 30.52966),-8.77688,30.52966
Biougra,Demand site,POINT (-9.33273 30.18095),-9.33273,30.18095
Drargua,Demand site,POINT (-9.42291 30.43001),-9.42291,30.43001
I_El Guerdane,Catchment,POINT (-9.0143 30.39035),-9.0143,30.39035
I_G1 Aoulouz,Catchment,POINT (-8.1381 30.64735),-8.1381,30.64735
I_Modern Prive Chtouka,Catchment,POINT (-9.40653 30.2912),-9.40653,30.2912
I_Modern Public Massa,Catchment,POINT (-9.5129 30.10597),-9.5129,30.10597
I_Moderne Prive Massa,Catchment,POINT (-9.523239999999999 30.22154),-9.52324,30.22154
I_Moderne Prive Souss,Catchment,POINT (-9.04522 30.48235),-9.04522,30.48235
I_Moderne Public Issen,Catchment,POINT (-9.240170000000001 30.3779),-9.24017,30.3779
I_Moderne Public Souss Amont,Catchment,POINT (-8.82568 30.43713),-8.82568,30.43713
I_Oughzifen,Catchment,POINT (-9.62133 30.08484),-9.62133,30.08484
I_PMH Anti Atlas Ait Baha,Catchment,POINT (-9.12974 29.93868),-9.12974,29.93868
I_PMH Anti Atlas Ighrem,Catchment,POINT (-8.32888 30.22332),-8.32888,30.22332
I_PMH Montagne Souss,Catchment,POINT (-7.83847 30.85595),-7.83847,30.85595
I_PMH Taliouine Tifnoute,Catchment,POINT (-7.97243 30.5471),-7.97243,30.5471
I_PMH Tamri Tamraght,Catchment,POINT (-9.494730000000001 30.78831),-9.49473,30.78831
I_PMH de Tiznit,Catchment,POINT (-9.84741 29.34127),-9.84741,29.34127
I_Tassila,Catchment,POINT (-9.596719999999999 29.98908),-9.59672,29.98908
I_Traditional Rehabilite Issen,Catchment,POINT (-9.301270000000001 30.45322),-9.30127,30.45322
I_Traditional Rehabilite du Souss Perimetre Diffus,Catchment,POINT (-8.949439999999999 30.51403),-8.94944,30.51403
I_Traditionnel Rehabilite Souss Amont,Catchment,POINT (-8.50672 30.60482),-8.50672,30.60482
I_Traditionnel non Rehabilite 2eme,Catchment,POINT (-8.74431 30.67391),-8.74431,30.67391
I_Traditionnel rehabilite du Souss 1ere,Catchment,POINT (-8.414070000000001 30.62701),-8.41407,30.62701
Lakhssass,Demand site,POINT (-9.65381 29.40002),-9.65381,29.40002
Lqliaa,Demand site,POINT (-9.47067 30.25032),-9.47067,30.25032
Ouled Teima,Demand site,POINT (-9.210900000000001 30.50264),-9.2109,30.50264
Recharge Souss GW,Demand site,POINT (-8.3698 30.51796),-8.3698,30.51796
Sidi Ifni,Demand site,POINT (-10.08832 29.46218),-10.08832,29.46218
Tafraout,Demand site,POINT (-9.417450000000001 29.49637),-9.41745,29.49637
Temsia,Demand site,POINT (-9.32053 30.35339),-9.32053,30.35339
Tiznit,Demand site,POINT (-9.71087 29.63196),-9.71087,29.63196
Agadir WWTP,WWTP,POINT (-9.598979999999999 30.3277),-9.59898,30.3277
Ahl Souss,Reservoir supply,POINT (-9.11974 30.05935),-9.11974,30.05935
Ait Baha WWTP,WWTP,POINT (-9.182840000000001 29.94803),-9.18284,29.94803
Ait Iaaza WWTP,WWTP,POINT (-8.81202 30.51264),-8.81202,30.51264
Anti Atlas GW,Groundwater supply,POINT (-8.41789 30.15321),-8.41789,30.15321
Aoulouz WWTP,WWTP,POINT (-8.2425 30.57115),-8.2425,30.57115
Biougra WWTP,WWTP,POINT (-9.39861 30.17729),-9.39861,30.17729
Chtouka GW,Groundwater supply,POINT (-9.35136 30.22505),-9.35136,30.22505
Complexe Abdelmoumen Dkhika,Reservoir supply,POINT (-9.29576 30.56446),-9.29576,30.56446
Complexe Aoulouz Mokhtar Soussi,Reservoir supply,POINT (-8.124890000000001 30.69973),-8.12489,30.69973
Desalination,Other supply,POINT (-9.765980000000001 30.29627),-9.76598,30.29627
Drargua WWTP,WWTP,POINT (-9.36613 30.42949),-9.36613,30.42949
ElGuerdane WWTP,WWTP,POINT (-8.9819 30.35045),-8.9819,30.35045
Haut Montagne Souss GW,Groundwater supply,POINT (-7.83607 30.62167),-7.83607,30.62167
Imi El Kheng,Reservoir supply,POINT (-8.5571 30.72866),-8.5571,30.72866
Lqliaa WWTP,WWTP,POINT (-9.48171 30.2817),-9.48171,30.2817
Moulay Abdellah,Reservoir supply,POINT (-9.596970000000001 30.82216),-9.59697,30.82216
Nappe Aluviale de Souss GW,Groundwater supply,POINT (-7.97735 30.69469),-7.97735,30.69469
Oulad Berhil WWTP,WWTP,POINT (-8.5288 30.51542),-8.5288,30.51542
Ouled Teima WWTP,WWTP,POINT (-9.21468 30.46279),-9.21468,30.46279
Souss GW,Groundwater supply,POINT (-9.08357 30.26714),-9.08357,30.26714
Tiznit GW,Groundwater supply,POINT (-9.769780000000001 29.46813),-9.76978,29.46813
Withdrawal Node 1,Surfacewater withdrawal,POINT (-8.85033 30.38495),-8.85033,30.38495
Withdrawal Node 2,Surfacewater withdrawal,POINT (-9.69476 29.41883),-9.69476,29.41883
Withdrawal Node 3,Surfacewater withdrawal,POINT (-8.272919999999999 30.3149),-8.27292,30.3149
Withdrawal Node 4,Surfacewater withdrawal,POINT (-8.01763 30.63227),-8.01763,30.63227
Withdrawal Node 5,Surfacewater withdrawal,POINT (-9.59022 30.36316),-9.59022,30.36316
Withdrawal Node 6,Surfacewater withdrawal,POINT (-9.46485 30.01408),-9.46485,30.01408
Withdrawal Node 7,Surfacewater withdrawal,POINT (-9.468529999999999 29.94374),-9.46853,29.94374
Withdrawal Node 8,Surfacewater withdrawal,POINT (-8.531969999999999 30.20749),-8.53197,30.20749
Withdrawal Node 9,Surfacewater withdrawal,POINT (-7.970209999999999 30.73042),-7.970209999999999,30.73042
Youssef Ben Tachefine,Reservoir supply,POINT (-9.475429999999999 29.81078),-9.47543,29.81078
