lon,lat,name,type
35.88552,32.47317,PL_Aqeb_Irbid,pipeline
35.87783,32.47656,PL_Aqeb_Irbid,pipeline
35.87165,32.47773000000001,PL_Aqeb_Irbid,pipeline
35.86043,32.4819,PL_Aqeb_Irbid,pipeline
,,PL_Aqeb_Irbid,pipeline
35.86043,32.4819,PL_Aqeb_Irbid,pipeline
35.85777,32.48313000000001,PL_Aqeb_Irbid,pipeline
35.84989,32.48532999999999,PL_Aqeb_Irbid,pipeline
,,PL_Aqeb_Irbid,pipeline
35.86043,32.4819,PL_Aqeb_Irbid,pipeline
35.85777,32.48313000000001,PL_Aqeb_Irbid,pipeline
35.84989,32.48532999999999,PL_Aqeb_Irbid,pipeline
,,PL_Aqeb_Irbid,pipeline
35.84989,32.48532999999999,PL_Aqeb_Irbid,pipeline
35.84189,32.49686,PL_Aqeb_Irbid,pipeline
,,PL_Aqeb_Irbid,pipeline
35.67160998042572,32.58538989361736,PL_WadiArab_Irbid,pipeline
35.686849980454326,32.57630989357284,PL_WadiArab_Irbid,pipeline
,,PL_WadiArab_Irbid,pipeline
35.686849980454326,32.57630989357284,PL_WadiArab_Irbid,pipeline
35.69378904511715,32.5727215652781,PL_WadiArab_Irbid,pipeline
,,PL_WadiArab_Irbid,pipeline
35.67160998042572,32.58538989361736,PL_WadiArab_Irbid,pipeline
35.686849980454326,32.57630989357284,PL_WadiArab_Irbid,pipeline
,,PL_WadiArab_Irbid,pipeline
35.686849980454326,32.57630989357284,PL_WadiArab_Irbid,pipeline
35.69378904511715,32.5727215652781,PL_WadiArab_Irbid,pipeline
,,PL_WadiArab_Irbid,pipeline
35.69378904511715,32.5727215652781,PL_WadiArab_Irbid,pipeline
35.69847890041931,32.56964142719538,PL_WadiArab_Irbid,pipeline
35.704728789549,32.566451194706666,PL_WadiArab_Irbid,pipeline
,,PL_WadiArab_Irbid,pipeline
35.69378904511715,32.5727215652781,PL_WadiArab_Irbid,pipeline
35.69847890041931,32.56964142719538,PL_WadiArab_Irbid,pipeline
35.704728789549,32.566451194706666,PL_WadiArab_Irbid,pipeline
,,PL_WadiArab_Irbid,pipeline
35.704728789549,32.566451194706666,PL_WadiArab_Irbid,pipeline
35.72001,32.55558,PL_WadiArab_Irbid,pipeline
,,PL_WadiArab_Irbid,pipeline
35.704728789549,32.566451194706666,PL_WadiArab_Irbid,pipeline
35.72001,32.55558,PL_WadiArab_Irbid,pipeline
,,PL_WadiArab_Irbid,pipeline
35.72001,32.55558,PL_WadiArab_Irbid,pipeline
35.74103,32.54205000000001,PL_WadiArab_Irbid,pipeline
,,PL_WadiArab_Irbid,pipeline
35.72001,32.55558,PL_WadiArab_Irbid,pipeline
35.74103,32.54205000000001,PL_WadiArab_Irbid,pipeline
,,PL_WadiArab_Irbid,pipeline
35.74103,32.54205000000001,PL_WadiArab_Irbid,pipeline
35.76023,32.53576,PL_WadiArab_Irbid,pipeline
,,PL_WadiArab_Irbid,pipeline
35.74103,32.54205000000001,PL_WadiArab_Irbid,pipeline
35.76023,32.53576,PL_WadiArab_Irbid,pipeline
,,PL_WadiArab_Irbid,pipeline
35.76023,32.53576,PL_WadiArab_Irbid,pipeline
35.77122,32.5343,PL_WadiArab_Irbid,pipeline
35.79993,32.52913000000001,PL_WadiArab_Irbid,pipeline
,,PL_WadiArab_Irbid,pipeline
35.76023,32.53576,PL_WadiArab_Irbid,pipeline
35.77122,32.5343,PL_WadiArab_Irbid,pipeline
35.79993,32.52913000000001,PL_WadiArab_Irbid,pipeline
,,PL_WadiArab_Irbid,pipeline
35.79993,32.52913000000001,PL_WadiArab_Irbid,pipeline
35.81872,32.53101999999999,PL_WadiArab_Irbid,pipeline
,,PL_WadiArab_Irbid,pipeline
35.79993,32.52913000000001,PL_WadiArab_Irbid,pipeline
35.81872,32.53101999999999,PL_WadiArab_Irbid,pipeline
,,PL_WadiArab_Irbid,pipeline
35.81872,32.53101999999999,PL_WadiArab_Irbid,pipeline
35.83819,32.531890000000004,PL_WadiArab_Irbid,pipeline
,,PL_WadiArab_Irbid,pipeline
35.76225,31.512629999999998,PL_WLibMadaba,pipeline
35.76241,31.51525000000001,PL_WLibMadaba,pipeline
35.76222,31.518469999999997,PL_WLibMadaba,pipeline
,,PL_WLibMadaba,pipeline
35.76225,31.512629999999998,PL_WLibMadaba,pipeline
35.76241,31.51525000000001,PL_WLibMadaba,pipeline
35.76222,31.518469999999997,PL_WLibMadaba,pipeline
,,PL_WLibMadaba,pipeline
35.76222,31.518469999999997,PL_WLibMadaba,pipeline
35.763,31.52819,PL_WLibMadaba,pipeline
,,PL_WLibMadaba,pipeline
35.76222,31.518469999999997,PL_WLibMadaba,pipeline
35.763,31.52819,PL_WLibMadaba,pipeline
,,PL_WLibMadaba,pipeline
35.763,31.52819,PL_WLibMadaba,pipeline
35.76498,31.535100000000003,PL_WLibMadaba,pipeline
,,PL_WLibMadaba,pipeline
35.76222,31.518469999999997,PL_WLibMadaba,pipeline
35.763,31.52819,PL_WLibMadaba,pipeline
,,PL_WLibMadaba,pipeline
35.763,31.52819,PL_WLibMadaba,pipeline
35.76498,31.535100000000003,PL_WLibMadaba,pipeline
,,PL_WLibMadaba,pipeline
35.763,31.52819,PL_WLibMadaba,pipeline
35.76498,31.535100000000003,PL_WLibMadaba,pipeline
,,PL_WLibMadaba,pipeline
35.76498,31.535100000000003,PL_WLibMadaba,pipeline
35.7673,31.550340000000006,PL_WLibMadaba,pipeline
,,PL_WLibMadaba,pipeline
35.76498,31.535100000000003,PL_WLibMadaba,pipeline
35.7673,31.550340000000006,PL_WLibMadaba,pipeline
,,PL_WLibMadaba,pipeline
35.7673,31.550340000000006,PL_WLibMadaba,pipeline
35.77016,31.566110000000002,PL_WLibMadaba,pipeline
,,PL_WLibMadaba,pipeline
35.7673,31.550340000000006,PL_WLibMadaba,pipeline
35.77016,31.566110000000002,PL_WLibMadaba,pipeline
,,PL_WLibMadaba,pipeline
35.77016,31.566110000000002,PL_WLibMadaba,pipeline
35.79095,31.653999999999993,PL_WLibMadaba,pipeline
,,PL_WLibMadaba,pipeline
35.77016,31.566110000000002,PL_WLibMadaba,pipeline
35.79095,31.653999999999993,PL_WLibMadaba,pipeline
,,PL_WLibMadaba,pipeline
35.79095,31.653999999999993,PL_WLibMadaba,pipeline
35.79135,31.664070000000002,PL_WLibMadaba,pipeline
35.79305,31.665560000000003,PL_WLibMadaba,pipeline
35.79127,31.66994,PL_WLibMadaba,pipeline
35.79605,31.7128,PL_WLibMadaba,pipeline
35.81221,31.775039999999994,PL_WLibMadaba,pipeline
35.89976,31.80859999999999,PL_WLibMadaba,pipeline
,,PL_WLibMadaba,pipeline
35.79095,31.653999999999993,PL_WLibMadaba,pipeline
