point,type,lon,lat
PL_BaniKinana2IR_BaniKinana,River/pipeline supply,35.82227,32.71449
PL_ToKhaw2AzraqWL,River/pipeline supply,36.79081,31.89754
PL_ToKhaw2ZA_Azraq,River/pipeline supply,36.76178,31.87142
PL_ToKhaw2ZA_Hashmiyya,River/pipeline supply,36.202560000000005,32.08278000000001
PL_ToKhaw2ZA_QZarqa,River/pipeline supply,36.06284,32.038129999999995
PL_ToKhaw2ZA_RC_Azraq,River/pipeline supply,36.57174,31.92672
PL_ToKhaw2ZA_Rusaifa,River/pipeline supply,36.05791,32.034180000000006
PS_Halabat2ZA_Dulayl,River/pipeline supply,36.40923,32.07945
PS_QunayyaWell2MF_ROU,River/pipeline supply,36.1242,32.17829
PS_QunayyaWell2ZA_Hashemiyya,River/pipeline supply,36.09383,32.14941
Withdrawal Node 2,River/pipeline supply,36.13566,32.18755
PS_Awayan2ZA_QZarqa,River/pipeline supply,36.0898,32.02889999999999
PS Zarqa Outflow,River/pipeline supply,36.0768,32.1232
PS_AlBasateen2ZA_Rusaifa,River/pipeline supply,36.00401,32.0327
PS_UmRummaneh2ZA_Bereyn,River/pipeline supply,35.91616,32.10656
PS_Ajloun2AJ_ROU,River/pipeline supply,35.77936,32.35571000000001
To Irbid_Yarmoukwells,River/pipeline supply,35.88117,32.576530000000005
PL_Ramtha2IR_Ramtha,River/pipeline supply,36.04608,32.596199999999996
PL_ZatariRam2IR_RC_CCity,River/pipeline supply,36.00588,32.50286
PL_ZatariRamtha2IR_RC_KAPark,River/pipeline supply,36.01310000000001,32.53154000000001
PS_NorthBadia2ROU_NB,River/pipeline supply,36.60757,32.283989999999996
PS_Mafraq2MF_ROU,River/pipeline supply,36.21985,32.28331
PS_ShJan2BQ_ShJanou,River/pipeline supply,35.57930998061525,31.89815989031395
PS_DairAllaDistrict2BQ_DeirAlla,River/pipeline supply,35.587099980516264,32.12332989139147
PS_Salt2BQ_ROUSalt,River/pipeline supply,35.684429980724,32.01112989084865
PS_AbuNus2BQ_AinBasha,River/pipeline supply,35.85822,32.08073
PS_AinAlAzraq2BQ_MahisFuhais,River/pipeline supply,35.7476,31.98771
PL_DisiAq2AQ_AqQuw,River/pipeline supply,35.534809981673924,29.723519880209206
PS_Qa2MA_Ail,River/pipeline supply,35.53125998138247,30.258369882642207
PS_Qa2MA_WMusa,River/pipeline supply,35.54863998140574,30.263199882662366
PS_Maan2MA_Maan,River/pipeline supply,35.79945,30.101049999999997
PS_Hasa2TA_Bus,River/pipeline supply,35.77598,30.812300000000004
